# ================================================================
# tag_card.txt — 弾幕カードローグライクRPG v2
# タグ形式: スペース区切り、各タグはコロン区切り
#
# ── スキルタグ一覧 ──
# ATTR:斬/魔/毒/炎/氷/光/闇/霊/特   属性
# ATK:N        攻撃倍率N
# HIT:N        N回連続攻撃
# BUFF_ATK:N   ATK+N%バフ（3ターン）
# HEAL:N       HP+N回復
# BREAK:N      状態異常の敵にN倍（解除）
# STATUS:NAME:rate:dur  状態異常付与
#   名前: POISON/BURN/FREEZE/STUN/WEAKEN/BLEED/SILENCE
# DRAIN:N      ダメージのN%HP吸収
# DRAIN_MAXHP:N 敵最大HP削り（対人間）
# CHARGE_OP:N  OP直接+N
# TRIGGER:HIT:BUFF_ATK:N  ヒットごとATKバフ+N%
# TRIGGER:HIT:CHARGE_OP:N ヒットごとOP+N
# FAST         ターン消費なし（即攻）
# EXCLUDE      使用後除外（1戦1回）
# CURSE_DMG:N  使用後Nダメ反動（呪い）
# CURSE_DEF:N  使用後防御-N%(1t)（呪い）
# ================================================================

[SKILL]
# id|name|tags|sp|rarity|desc
# ── 斬撃属性 ──
1  |斬撃         |ATTR:斬 ATK:1.2 HIT:1                              |1|common   |基本の一撃
2  |連撃         |ATTR:斬 ATK:0.7 HIT:3                              |2|common   |3連撃。OP・トリガー稼ぎの主力
3  |強斬り       |ATTR:斬 ATK:2.0 HIT:1                              |2|rare     |単発の重い一撃
4  |乱打         |ATTR:斬 ATK:0.5 HIT:6                              |3|rare     |6連撃。大量OP獲得
5  |旋風斬       |ATTR:斬 ATK:0.8 HIT:4                              |2|rare     |4連続の旋回斬撃
6  |真空斬       |ATTR:斬 ATK:1.5 HIT:1 BUFF_ATK:30                  |2|rare     |斬撃後にATKバフ
7  |霞斬り       |ATTR:斬 ATK:1.0 HIT:1 FAST                         |1|rare     |即攻の素早い一撃
8  |双剣乱舞     |ATTR:斬 ATK:0.6 HIT:10                             |4|epic     |10連続の双剣舞踏
9  |滅殺剣       |ATTR:斬 ATK:3.0 HIT:2                              |4|epic     |2撃の超重攻撃
10 |剛力斬       |ATTR:斬 ATK:4.0 HIT:1                              |3|epic     |力を込めた渾身の一撃
11 |神速一刀     |ATTR:斬 ATK:5.0 HIT:1 FAST                         |3|epic     |即攻の超高速斬撃
12 |乱裂斬       |ATTR:斬 ATK:0.9 HIT:5 BREAK:5                      |4|epic     |5連+ブレイク特効
13 |縦断斬       |ATTR:斬 ATK:4.0 HIT:1 EXCLUDE                      |4|epic     |除外:1戦1回の縦断一刀
14 |百烈斬       |ATTR:斬 ATK:0.3 HIT:15                             |5|legendary|15連続の怒濤の乱撃
15 |無限刃       |ATTR:斬 ATK:1.0 HIT:8                              |4|legendary|8連の剣の嵐
16 |神の一刀     |ATTR:斬 ATK:8.0 HIT:1 EXCLUDE                      |5|legendary|除外:神速の究極一刀
17 |流星乱斬     |ATTR:斬 ATK:0.7 HIT:12 TRIGGER:HIT:BUFF_ATK:5      |5|legendary|12連+ヒットごとATKUP
# ── 魔法属性 ──
18 |魔弾         |ATTR:魔 ATK:1.8 HIT:1                              |2|rare     |凝縮した魔力の弾
19 |魔法陣       |ATTR:魔 ATK:0.9 HIT:3 STATUS:STUN:25:1             |2|rare     |3連+気絶付与
20 |雷撃         |ATTR:魔 ATK:2.2 HIT:1 STATUS:STUN:30:1             |2|rare     |雷の一撃+気絶
21 |連鎖魔法     |ATTR:魔 ATK:1.0 HIT:5 TRIGGER:HIT:BUFF_ATK:15      |4|epic     |5連+ヒットごとATKUP15%
22 |魔力爆発     |ATTR:魔 ATK:4.0 HIT:1                              |3|epic     |魔力を爆発させる
23 |星降り       |ATTR:魔 ATK:0.7 HIT:7                              |3|rare     |7つの星を降り注ぐ
24 |大魔法陣     |ATTR:魔 ATK:4.5 HIT:2 EXCLUDE                      |4|epic     |除外:強力な複合魔法陣
25 |召喚術       |ATTR:魔 ATK:2.0 HIT:4                              |3|rare     |精霊を4体召喚して攻撃
26 |魔力収束     |ATTR:魔 ATK:1.0 HIT:2 TRIGGER:HIT:BUFF_ATK:25      |2|rare     |2連+ヒットごとATKUP25%
27 |魔法陣展開   |ATTR:魔 BUFF_ATK:200 FAST EXCLUDE                   |2|legendary|即攻除外:ATK+200%超強化
28 |次元斬       |ATTR:魔 ATK:7.0 HIT:1 EXCLUDE                      |5|legendary|除外:次元を斬る究極魔法
29 |禁呪         |ATTR:魔 ATK:8.0 HIT:1 CURSE_DMG:20                 |5|legendary|超高威力+呪い反動20
30 |魔力の嵐     |ATTR:魔 ATK:1.5 HIT:6 STATUS:SILENCE:20:2          |4|epic     |6連+沈黙付与
31 |封印術       |ATTR:魔 BUFF_ATK:300 FAST EXCLUDE                   |3|legendary|即攻除外:ATK+300%(最大強化)
